45.7738337454, 4.8095044744;"{""type"": ""Point"", ""coordinates"": [4.809504474400391, 45.77383374535062]}";9032;Place Port Mouton;Place Port Mouton;Quai Arloing;Lyon 9 ème;32;Non;;45.7738337453507000;4.8095044744003900;18;OPEN;11;7;1;Vert;t;987;2015-07-01 16:05:02;2015-07-01 16:11:00
45.7697822122, 4.81267621959;"{""type"": ""Point"", ""coordinates"": [4.812676219585402, 45.76978221215734]}";9011;Conservatoire;Quai Chauveau;avant angle pont Koenig;Lyon 9 ème;11;Non;Conservatoire national de musique;45.7697822121574000;4.8126762195854000;19;OPEN;11;7;1;Vert;t;839;2015-07-01 16:07:39;2015-07-01 16:11:00
45.7537858652, 4.8480424261;"{""type"": ""Point"", ""coordinates"": [4.848042426103681, 45.75378586524346]}";3005;Place Victor Basch;Place Victor Basch;;Lyon 3 ème;5;Non;métro B D;45.7537858652436000;4.8480424261036800;20;OPEN;14;6;1;Vert;t;1049;2015-07-01 16:02:04;2015-07-01 16:11:00
45.7630769296, 4.83428668835;"{""type"": ""Point"", ""coordinates"": [4.834286688347045, 45.76307692956692]}";2016;Place Regaud;Place Regaud;Angle rue Tupin / rue Herriot;Lyon 2 ème;16;Non;maillage, Virgin;45.7630769295670000;4.8342866883470400;12;OPEN;3;9;1;Vert;t;832;2015-07-01 16:07:49;2015-07-01 16:11:00
45.7722848585, 4.81948885202;"{""type"": ""Point"", ""coordinates"": [4.819488852022704, 45.77228485852253]}";1023;Croix Rousse / Duplat;Boulevard de la Croix Rousse;;Lyon 1 er;23;Oui;IUFM, gymnase Jean Genety;45.7722848585226000;4.8194888520227000;20;OPEN;14;6;1;Vert;t;802;2015-07-01 16:06:08;2015-07-01 16:11:00
45.7432217977, 4.83425102401;"{""type"": ""Point"", ""coordinates"": [4.83425102400814, 45.74322179772386]}";7030;QGF;31 boulevard Yves Farge;;Lyon 7 ème;30;Non;Parc d'activités, logement, projet cyclable;45.7432217977239000;4.8342510240081400;30;OPEN;21;9;1;Vert;t;990;2015-07-01 16:09:14;2015-07-01 16:11:00
45.7414231127, 4.88537719793;"{""type"": ""Point"", ""coordinates"": [4.885377197932871, 45.74142311271286]}";3024;Rockfeller / Esquirol;Avenue Rockefeller;Intersection Rockfeller/Esquirol;Lyon 3 ème;24;Non;tram, école d'infirmière, itinéraire cyclable;45.7414231127130000;4.8853771979328700;19;OPEN;11;8;1;Vert;t;808;2015-07-01 16:07:02;2015-07-01 16:11:00
45.7571230717, 4.85347191211;"{""type"": ""Point"", ""coordinates"": [4.853471912113021, 45.757123071687175]}";3037;Place des Martyrs de la Résistance;Rue Paul Bert;Face place des Martyrs de la Résistance;Lyon 3 ème;37;Non;maillage (piscine Garibaldi);45.7571230716872000;4.8534719121130200;20;OPEN;15;4;1;Vert;t;859;2015-07-01 16:09:38;2015-07-01 16:11:00
45.7439256046, 4.8415220893;"{""type"": ""Point"", ""coordinates"": [4.841522089300285, 45.74392560462173]}";7022;Jaurès/Lagrange;105 av. jean Jaurès;;Lyon 7 ème;22;Non;Piste cyclable, commerces;45.7439256046218000;4.8415220893002800;30;OPEN;3;25;1;Vert;t;1015;2015-07-01 16:09:38;2015-07-01 16:11:00
45.758262043, 4.83043945355;"{""type"": ""Point"", ""coordinates"": [4.830439453554079, 45.7582620430001]}";2002;Bellecour;Place Bellecour;côté rue Lintier;Lyon 2 ème;2;Non;métro A D, site, commerces;45.7582620430002000;4.8304394535540800;20;OPEN;7;13;1;Vert;t;800;2015-07-01 16:03:54;2015-07-01 16:11:00
